filepath,xmin,ymin,xmax,ymax,class_name
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_100026.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_10003.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_100050.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_100074.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_10012.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_100145.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_100191.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_100257.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_100312.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_100337.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_100456.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_1005.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_10053.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_100542.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_100598.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_100605.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_100656.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_100665.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_100796.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_100824.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_100828.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_10092.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_100922.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_101015.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_101032.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_101091.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_101113.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_101159.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_101175.jpg,0,0,0,0,no_phone
C:/Users/Zaid/Desktop/Datasets/Kaggle/nophonetrain/c0/img_101196.jpg,0,0,0,0,no_phone
