filename,width,height,class,xmin,ymin,xmax,ymax
/home/candle/datasets/Mobile/Driver/train/c1/img_100021.jpg,640,480,Comp,317,235,392,300
/home/candle/datasets/Mobile/Driver/train/c1/img_100045.jpg,640,480,Comp,350,224,425,298
/home/candle/datasets/Mobile/Driver/train/c1/img_100046.jpg,640,480,Comp,436,108,502,215
/home/candle/datasets/Mobile/Driver/train/c1/img_10011.jpg,640,480,Comp,310,238,397,312
/home/candle/datasets/Mobile/Driver/train/c1/img_100126.jpg,640,480,Comp,361,228,439,336
/home/candle/datasets/Mobile/Driver/train/c1/img_100135.jpg,640,480,Comp,407,174,495,259
/home/candle/datasets/Mobile/Driver/train/c1/img_100153.jpg,640,480,Comp,357,280,472,363
/home/candle/datasets/Mobile/Driver/train/c1/img_100155.jpg,640,480,Comp,374,243,438,310
/home/candle/datasets/Mobile/Driver/train/c1/img_100230.jpg,640,480,Comp,306,232,399,337
/home/candle/datasets/Mobile/Driver/train/c1/img_100348.jpg,640,480,Comp,296,249,381,323
/home/candle/datasets/Mobile/Driver/train/c1/img_100358.jpg,640,480,Comp,349,245,424,322
/home/candle/datasets/Mobile/Driver/train/c1/img_100365.jpg,640,480,Comp,365,311,463,397
/home/candle/datasets/Mobile/Driver/train/c1/img_100375.jpg,640,480,Comp,394,187,474,271
/home/candle/datasets/Mobile/Driver/train/c1/img_100399.jpg,640,480,Comp,389,214,478,309
/home/candle/datasets/Mobile/Driver/train/c1/img_100403.jpg,640,480,Comp,320,234,386,300
/home/candle/datasets/Mobile/Driver/train/c1/img_100442.jpg,640,480,Comp,398,127,461,218
/home/candle/datasets/Mobile/Driver/train/c1/img_100451.jpg,640,480,Comp,389,179,467,264
/home/candle/datasets/Mobile/Driver/train/c1/img_100594.jpg,640,480,Comp,302,224,371,328
/home/candle/datasets/Mobile/Driver/train/c1/img_100729.jpg,640,480,Comp,356,277,451,376
/home/candle/datasets/Mobile/Driver/train/c1/img_100754.jpg,640,480,Comp,349,210,421,300
/home/candle/datasets/Mobile/Driver/train/c1/img_100776.jpg,640,480,Comp,382,226,458,305
/home/candle/datasets/Mobile/Driver/train/c1/img_100777.jpg,640,480,Comp,405,192,486,269
